Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Morocco,504,Africa - Northern,8985986,9243410,9528979,9837075,10162948,10502658,10853173,11212230,11578378,11950747,12328532,12710587,13094890,13478425,13857656,14230163,14595351,14954037,15307267,15656846,16004732,16350883,16696890,17048525,17413149,17796171,18198836,18620087,19059773,19516942,19990006,20479709,20984023,21495088,22002641,22499111,22980334,23447256,23903592,24355624,24807461,25260407,25711410,26155204,26584473,26994255,27383472,27754573,28110447,28455504,28793672,29126323,29454765,29782884,30115196,30455563,30804689,31163670,31536807,31929087,32343384,32781860,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558
Mozambique,508,Africa - Eastern,5958982,6059446,6165054,6275232,6389675,6508400,6631668,6760108,6894491,7035799,7184870,7342117,7507309,7679465,7857107,8039217,8225919,8417698,8614445,8816056,9022747,9232655,9446235,9668655,9906963,10165216,10443954,10738534,11041206,11341405,11630194,11913085,12189817,12439773,12636120,12764385,12808566,12786353,12758003,12805950,12987292,13328029,13805999,14370950,14948050,15483277,15960445,16397175,16813946,17244176,17711925,18221884,18764147,19331097,19910549,20493927,21080108,21673319,22276596,22894718,23531567,24187500,24862673,25560752,26286192,27042001,27829930,28649007,29496009,30366043,31255435
Myanmar,104,Asia - SouthEastern,17779635,18103970,18440675,18792741,19162186,19550067,19956404,20380220,20819752,21272677,21736947,22211626,22697664,23198238,23717785,24259356,24823937,25410054,26015239,26635852,27269063,27913749,28570093,29238168,29918469,30611093,31314347,32026748,32748782,33481397,34224316,34976465,35734273,36491804,37241530,37977087,38698484,39404350,40085653,40731439,41335188,41890192,42401686,42889992,43383421,43901598,44452203,45027223,45611220,46181075,46719698,47225119,47702163,48148907,48564489,48949931,49301049,49621479,49929642,50250366,50600827,50990612,51413703,51852464,52280816,52680724,53045199,53382521,53708318,54045422,54409794
Namibia,516,Africa - Southern,514378,523963,534163,544900,556141,567846,580024,592702,605902,619695,634138,649274,665119,681633,698797,716588,734866,753683,773428,794588,817474,842353,868954,896264,922900,947925,971117,992955,1014055,1035379,1057723,1080938,1105103,1131624,1162282,1198149,1239923,1286796,1336545,1386011,1432899,1476399,1516951,1555098,1591826,1627866,1663378,1698029,1731635,1763861,1794583,1823667,1851519,1879113,1907737,1938316,1971318,2006516,2043382,2081039,2118877,2156698,2194777,2233506,2273426,2314901,2358044,2402623,2448300,2494524,2540916
Nauru,520,Oceania - Micronesia,3430,3466,3555,3655,3738,3819,3888,3959,4051,4186,4377,4627,4942,5270,5590,5859,6065,6221,6343,6445,6553,6669,6798,6929,7062,7178,7284,7396,7505,7626,7751,7871,8016,8163,8331,8501,8679,8868,9058,9275,9506,9766,10030,10287,10496,10626,10677,10643,10567,10449,10335,10219,10102,9990,9906,9848,9827,9846,9880,9945,10009,10069,10136,10208,10289,10374,10474,10577,10678,10764,10834
Nepal,524,Asia - Southern,8483322,8663602,8834698,8999194,9159320,9316916,9473411,9629865,9786976,9945213,10105060,10267260,10433147,10604620,10783958,10972912,11172530,11382965,11603921,11834657,12074628,12323984,12583142,12852205,13131260,13420367,13719466,14028535,14347653,14676932,15016408,15367229,15729431,16100623,16477488,16858315,17239677,17623697,18020755,18445021,18905480,19405506,19938322,20489973,21040899,21576074,22090352,22584772,23057875,23509971,23941099,24347113,24725625,25080880,25419337,25744500,26066687,26382586,26666581,26883531,27013207,27041220,26989160,26916795,26905982,27015033,27263430,27632682,28095712,28608715,29136808
Netherlands,528,Europe - Western,10042051,10167541,10297986,10432296,10569687,10709621,10851925,10996626,11144074,11294684,11448815,11606398,11766730,11928359,12089386,12248333,12404189,12556841,12706787,12855006,13001941,13147935,13291876,13431187,13562431,13683287,13793110,13892920,13984050,14068597,14148410,14223757,14295209,14365388,14437510,14513947,14595749,14682662,14774031,14868659,14965442,15064522,15165856,15268005,15369121,15467852,15563252,15655482,15745650,15835525,15926188,16018112,16110355,16200948,16287183,16367153,16440091,16506652,16568105,16626379,16682927,16738191,16791850,16843512,16892517,16938492,16981285,17021343,17059560,17097123,17134873
New Caledonia,540,Oceania - Melanesia,64823,64259,64409,65128,66273,67743,69469,71374,73442,75672,78059,80581,83214,85901,88572,91194,93688,96072,98609,101628,105323,109823,114984,120426,125648,130269,134169,137463,140262,142770,145141,147400,149535,151625,153752,155985,158350,160873,163655,166782,170335,174336,178759,183481,188366,193296,198237,203185,208065,212782,217263,221499,225482,229251,232881,236441,239924,243332,246696,250082,253529,257066,260657,264239,267732,271062,274190,277159,279986,282757,285491
New Zealand,554,Oceania - AusNZ,1908011,1947929,1992809,2040237,2088488,2136388,2183460,2229828,2276133,2323404,2372599,2424064,2477192,2530186,2580536,2626649,2667085,2702676,2736821,2774358,2818391,2870817,2929687,2989412,3042175,3082622,3108574,3122406,3128958,3135301,3146610,3164823,3188537,3215732,3243034,3268234,3290304,3310751,3332787,3360956,3398175,3446171,3503194,3564473,3623272,3674940,3717352,3752355,3783976,3818128,3858992,3907941,3963202,4022074,4080421,4135353,4185882,4233046,4278156,4323338,4370060,4418674,4468462,4518519,4567522,4614527,4659265,4702029,4743131,4783062,4822233
Nicaragua,558,America - Central,1294994,1332046,1372102,1414940,1460348,1508103,1557961,1609647,1662905,1717468,1773132,1829772,1887426,1946240,2006478,2068379,2131973,2197303,2264623,2334285,2406523,2481345,2558705,2638699,2721417,2806859,2894967,2985480,3077861,3171404,3265520,3360142,3455129,3549711,3642978,3734343,3823133,3909672,3995529,4082958,4173435,4267570,4364514,4462496,4559010,4652185,4741571,4827658,4910642,4991041,5069310,5145367,5219324,5292115,5364930,5438692,5513757,5590066,5667436,5745538,5824058,5903035,5982530,6062462,6142734,6223234,6303970,6384843,6465502,6545503,6624554
Niger,562,Africa - Western,2559706,2638130,2716815,2795799,2875271,2955536,3037052,3120419,3206341,3295568,3388774,3486322,3588228,3693985,3802802,3914118,4027969,4144588,4263925,4385925,4510645,4637984,4768225,4902151,5040795,5184940,5335083,5491158,5652655,5818763,5989000,6163711,6343530,6528646,6719310,6915994,7118885,7328934,7548429,7780242,8026592,8288739,8566773,8860297,9168316,9490289,9826600,10178196,10545720,10929922,11331561,11751364,12189988,12647983,13125914,13624474,14143969,14685404,15250913,15843131,16464025,17114770,17795209,18504287,19240182,20001663,20788789,21602388,22442831,23310719,24206636
Nigeria,566,Africa - Western,37859750,38424142,39035435,39686159,40370853,41086100,41830617,42605120,43412094,44255337,45138460,46063570,47029818,48032932,49066762,50127920,51217969,52342231,53506201,54717035,55982142,57296988,58665813,60114615,61677167,63374289,65221379,67203134,69271915,71361141,73423646,75440505,77427539,79414841,81448757,83562776,85766396,88048029,90395278,92788039,95212454,97667632,100161708,102700751,105293701,107948339,110668784,113457661,116319763,119260055,122283853,125394046,128596079,131900634,135320420,138865014,142538305,146339971,150269622,154324939,158503203,162805080,167228803,171765819,176404931,181137454,185960244,190873247,195874685,200963603,206139587
Niue,570,Oceania - Polynesia,4666,4676,4692,4681,4683,4690,4697,4722,4749,4783,4830,4877,4930,4987,5040,5097,5152,5206,5242,5215,5127,4956,4722,4450,4194,3974,3796,3684,3603,3502,3401,3268,3123,2974,2837,2713,2607,2520,2446,2382,2332,2292,2261,2228,2201,2161,2124,2069,2010,1953,1902,1843,1795,1748,1713,1688,1667,1647,1633,1622,1622,1618,1606,1606,1607,1610,1611,1612,1610,1614,1618
North Macedonia,807,Europe - Southern,1254444,1290417,1320982,1347470,1370979,1392461,1412610,1432016,1451021,1469848,1488670,1507647,1527109,1547449,1569139,1592437,1617797,1644949,1672399,1698150,1720805,1739529,1754951,1769002,1784400,1803008,1825559,1851070,1877690,1902718,1924203,1941527,1955247,1965892,1974413,1981536,1987538,1992278,1995508,1996863,1996218,1993304,1988659,1984024,1981713,1983259,1989441,1999588,2012052,2024393,2034823,2042844,2048930,2053426,2057044,2060280,2063132,2065408,2067309,2069030,2070737,2072484,2074275,2076065,2077780,2079335,2080746,2081996,2082957,2083458,2083380
Northern Mariana Islands,580,Oceania - Micronesia,6997,7078,7204,7394,7660,7980,8376,8810,9238,9640,9980,10243,10438,10591,10780,11023,11341,11723,12135,12577,13000,13423,13884,14322,14672,14917,15024,15049,15167,15640,16633,18168,20163,22622,25496,28719,32377,36371,40294,43542,45752,46662,46473,45763,45361,45872,47518,50052,52999,55633,57453,58319,58412,57954,57240,56547,55886,55215,54621,54194,53971,54013,54306,54786,55301,55779,56187,56553,56889,57213,57557
Norway,578,Europe - Northern,3265274,3300751,3334477,3367054,3398913,3430335,3461518,3492445,3523049,3553129,3582508,3611139,3639213,3667113,3695417,3724457,3754354,3784867,3815641,3846177,3876049,3905274,3933726,3960805,3985735,4008026,4027475,4044335,4059186,4072875,4086070,4098974,4111650,4124588,4138265,4153111,4169318,4186972,4205959,4226116,4247286,4269465,4292685,4316790,4341616,4366996,4393217,4420266,4447485,4474008,4499375,4523139,4546017,4570096,4598210,4632359,4672986,4719403,4771014,4826847,4885878,4948335,5013716,5079460,5142269,5199827,5250950,5296324,5337960,5378859,5421242
Oman,512,Asia - Western,456410,462255,469346,477443,486315,495825,505888,516468,527591,539320,551735,564891,578827,593498,608890,625006,642007,660117,679592,700725,723842,748968,776385,806985,841952,882038,927434,977804,1032797,1091858,1154373,1220578,1290121,1361085,1431066,1498413,1561180,1619871,1678119,1741155,1812158,1893761,1983272,2072106,2148416,2204267,2236652,2249759,2251859,2254898,2267973,2294959,2334860,2386164,2445524,2511254,2580753,2657162,2750956,2876186,3041435,3251102,3498031,3764805,4027255,4267341,4479217,4665926,4829476,4974992,5106622
Pakistan,586,Asia - Southern,37542370,37992884,38516514,39109090,39767169,40488032,41269721,42111011,43011324,43970560,44988690,46065229,47198886,48387293,49627623,50917975,52260183,53655783,55102690,56598148,58142062,59734479,61381982,63099404,64905996,66816875,68834324,70958168,73197254,75561128,78054346,80680461,83431597,86285936,89213708,92191505,95215375,98285762,101389603,104512874,107647918,110778655,113911126,117086680,120362764,123776835,127349293,131057432,134843233,138624625,142343583,145978408,149549695,153093371,156664698,160304007,164022626,167808106,171648984,175525610,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
Palau,585,Oceania - Micronesia,7431,7493,7630,7821,8051,8315,8592,8895,9188,9480,9769,10046,10329,10566,10792,11005,11178,11329,11460,11617,11803,12051,12342,12625,12823,12898,12835,12646,12409,12231,12178,12281,12519,12842,13190,13534,13835,14121,14400,14704,15063,15442,15859,16285,16735,17158,17599,18016,18409,18773,19104,19390,19642,19812,19861,19784,19545,19159,18708,18290,17954,17748,17635,17603,17625,17665,17718,17809,17911,18001,18092
Panama,591,America - Central,859658,881345,904406,928745,954313,981083,1009040,1038181,1068544,1100139,1133005,1167120,1202447,1238893,1276331,1314679,1353847,1393824,1434676,1476481,1519286,1563093,1607797,1653208,1699056,1745142,1791389,1837804,1884427,1931302,1978489,2025965,2073748,2121863,2170330,2219200,2268500,2318259,2368556,2419424,2470946,2523115,2575949,2629584,2684117,2739667,2796291,2853907,2912318,2971197,3030333,3089641,3149195,3209056,3269356,3330222,3391673,3453671,3516204,3579215,3642691,3706479,3770635,3835447,3901311,3968490,4037073,4106764,4176868,4246440,4314768
Papua New Guinea,598,Oceania - Melanesia,2002147,2011216,2024160,2041021,2061758,2086253,2114280,2145599,2179870,2216723,2255858,2297052,2340349,2385943,2434220,2485433,2539683,2596820,2656636,2718805,2783132,2849522,2918138,2989201,3063051,3139944,3219825,3302636,3388631,3478093,3571209,3668102,3768489,3871490,3975950,4081022,4186499,4292575,4399320,4506996,4615843,4725543,4836216,4949053,5065664,5187063,5314258,5446633,5581767,5716166,5847590,5974627,6098621,6223378,6354247,6494902,6646891,6808503,6976200,7144774,7310512,7472196,7631003,7788388,7946733,8107772,8271766,8438038,8606324,8776119,8947027
Paraguay,600,America - South,1473241,1511850,1550983,1590868,1631711,1673667,1716878,1761454,1807458,1854966,1903990,1954552,2006675,2060340,2115573,2172309,2230733,2290797,2351926,2413396,2474757,2535877,2597149,2659418,2723816,2791236,2861868,2935710,3013281,3095151,3181627,3272922,3368763,3468533,3571275,3676206,3783074,3891725,4001678,4112396,4223413,4334348,4445019,4555518,4666096,4776838,4887638,4998096,5107840,5216346,5323202,5428442,5531958,5632983,5730556,5824095,5913212,5998430,6081296,6163970,6248017,6333981,6421510,6510273,6599524,6688746,6777878,6867058,6956069,7044639,7132530
Peru,604,America - South,7777452,7976478,8184725,8401373,8625982,8858392,9098830,9347833,9606241,9875016,10155011,10446618,10749463,11062295,11383364,11711402,12045783,12386868,12735491,13092846,13459789,13836365,14221954,14615847,15017060,15424745,15838568,16258323,16683451,17113393,17547612,17985398,18426420,18870988,19319746,19772871,20230385,20691285,21153462,21614193,22071433,22522383,22966822,23408135,23851405,24299168,24753825,25210957,25658070,26078295,26459944,26799289,27100964,27372217,27624226,27866140,28102055,28333050,28562321,28792663,29027680,29264314,29506790,29773986,30090372,30470739,30926036,31444299,31989265,32510462,32971846
Philippines,608,Asia - SouthEastern,18580483,19246603,19945269,20669608,21414578,22177060,22955908,23751870,24567266,25405531,26269741,27161052,28077345,29012630,29958687,30909997,31864175,32823970,33795203,34786309,35803591,36849678,37923400,39022759,40144250,41285741,42446659,43629415,44838485,46079844,47357741,48672831,50023564,51408910,52827047,54275836,55755346,57263835,58794999,60340768,61895169,63454785,65020124,66593904,68180846,69784087,71401743,73030879,74672009,76325927,77991757,79672869,81365260,83051970,84710544,86326251,87888675,89405482,90901967,92414161,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085
Poland,616,Europe - Eastern,24824007,25283013,25764322,26260482,26764490,27269742,27770044,28259605,28733123,29185902,29614201,30015604,30389354,30736494,31059449,31360903,31641037,31901687,32149536,32393140,32639262,32890387,33147079,33411592,33685785,33970730,34266104,34571226,34885808,35209249,35539723,35878440,36221543,36555782,36863949,37133860,37359519,37544332,37697360,37832568,37960193,38082940,38197588,38301349,38389469,38458642,38509672,38544838,38564191,38567868,38556699,38529585,38488640,38441821,38399553,38368957,38354447,38353339,38356786,38351924,38329784,38286824,38227033,38158043,38091095,38034076,37989218,37953176,37921585,37887771,37846605
Portugal,620,Europe - Southern,8416971,8418739,8451545,8503169,8563703,8625538,8683415,8734425,8777697,8814023,8844638,8869989,8888509,8896266,8888226,8862277,8814774,8750863,8687873,8649249,8651334,8700000,8789110,8907928,9039977,9172240,9302297,9431036,9552609,9660749,9750966,9820868,9870822,9902992,9921243,9929176,9926426,9914073,9899198,9890823,9895358,9916052,9951305,9996642,10045032,10091322,10134016,10174564,10214046,10254501,10297117,10341456,10385993,10429615,10470926,10508494,10542837,10573150,10595312,10604066,10596055,10569388,10526308,10473025,10418224,10368346,10325540,10288527,10256192,10226178,10196707
Puerto Rico,630,America - Caribbean,2218005,2193616,2183075,2181915,2186786,2195521,2207050,2221479,2239834,2263833,2294971,2333662,2378378,2425350,2469568,2507537,2537566,2561034,2581388,2603713,2631700,2666165,2705840,2749863,2796662,2844925,2894672,2945847,2996840,3045604,3090688,3131507,3168344,3201864,3233169,3263173,3291747,3318838,3345571,3373373,3403168,3435255,3469071,3503470,3536806,3567691,3596099,3621900,3643672,3659730,3668955,3670308,3664321,3653660,3642005,3631885,3623783,3616341,3608030,3596532,3579842,3559862,3536570,3503865,3453667,3381512,3283121,3163676,3039598,2933404,2860840
Qatar,634,Asia - Western,25006,27497,29872,32062,34051,35863,37616,39451,41542,44118,47383,51427,56266,61721,67562,73631,79850,86298,93206,100880,109521,119413,130505,142181,153624,164314,173716,182319,191947,205172,223622,247984,277229,309299,341272,370886,397739,422154,443611,461688,476275,487354,495403,501479,507044,513447,522531,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022704,1218441,1436670,1654944,1856329,2035862,2196078,2336579,2459202,2565708,2654379,2724727,2781682,2832071,2881060
Republic of Korea,410,Asia - Eastern,19211387,19452640,19817775,20293200,20864104,21514564,22227339,22984010,23765501,24552846,25329521,26084025,26812084,27517540,28209737,28895557,29572554,30236691,30891968,31543831,32195679,32850725,33506522,34154091,34780886,35378657,35942033,36475425,36992188,37511303,38045605,38602287,39175221,39747794,40296230,40804406,41265123,41686566,42086668,42491200,42918416,43373148,43848223,44335037,44820070,45292521,45751023,46196056,46620698,47016952,47379237,47706226,47999551,48260901,48493434,48701069,48880449,49034813,49182458,49347450,49545638,49786153,50060639,50345720,50607904,50823087,50983446,51096408,51171700,51225321,51269183
Republic of Moldova,498,Europe - Eastern,2341009,2381300,2431886,2490865,2556459,2627008,2700981,2776930,2853571,2929739,3004446,3076893,3146547,3213083,3276431,3336593,3393047,3445836,3496129,3545651,3595549,3646571,3698230,3749013,3796768,3840046,3878102,3911809,3943330,3975722,4011085,4049874,4091132,4133730,4175932,4216244,4254526,4290484,4322338,4347870,4365562,4375053,4376804,4371155,4358790,4340602,4316225,4286477,4254835,4225835,4202659,4187097,4178228,4173276,4167962,4159296,4146264,4130129,4112886,4097515,4086090,4079167,4075804,4074585,4073407,4070705,4066013,4059687,4051950,4043258,4033963
Réunion,638,Africa - Eastern,248114,259294,268481,276524,284083,291663,299575,307982,316882,326165,335694,345407,355425,366085,377797,390773,405286,420996,436688,450742,462029,470116,475476,478910,481689,484785,488348,492289,496906,502499,509264,517415,526950,537401,548141,558704,568913,578938,588985,599447,610584,622413,634793,647590,660565,673543,686462,699307,712000,724484,736714,748653,760250,771377,781861,791598,800533,808728,816325,823529,830507,837336,843984,850506,856960,863359,869742,876131,882531,888932,895308
Romania,642,Europe - Eastern,16236289,16512670,16764911,17005719,17243812,17483935,17726634,17968470,18202715,18420450,18613945,18780210,18924152,19059934,19207139,19379575,19582332,19810612,20055976,20305348,20548912,20783555,21011147,21232622,21450405,21665640,21879077,22087896,22285505,22463310,22615644,22737209,22830547,22907296,22983962,23071258,23175055,23288388,23393739,23466413,23489156,23456646,23375828,23256959,23115814,22964747,22805706,22637600,22466291,22298122,22137423,21989354,21853278,21720403,21577890,21417287,21234312,21034196,20829521,20637995,20471860,20336718,20227467,20132780,20035928,19925182,19796280,19653966,19506110,19364558,19237682
Russian Federation,643,Europe - Eastern,102798649,104304698,105967087,107727310,109536504,111355301,113154332,114913780,116622392,118275873,119871700,121403897,122858215,124210253,125430991,126503741,127417192,128187398,128859795,129497500,130148650,130830724,131539634,132275730,133032258,133804859,134596225,135413335,136259824,137139387,138053143,138993850,139954626,140935774,141938482,142957289,143995348,145032886,146013482,146863927,147531562,147995584,148268576,148373584,148349443,148227471,148020852,147730020,147360613,146915915,146404890,145830726,145215707,144610876,144080649,143672125,143403258,143266207,143248764,143326904,143479273,143703027,143993888,144325456,144664837,144985059,145275374,145530091,145734034,145872260,145934460
Rwanda,646,Africa - Eastern,2186183,2251125,2314181,2379688,2450362,2527293,2609863,2695818,2781612,2862799,2935575,2998334,3052937,3105417,3164258,3235536,3321674,3420897,3529839,3643237,3757351,3871428,3987223,4106411,4231579,4364709,4506109,4655386,4812872,4978812,5153314,5329250,5504847,5690989,5902847,6146884,6443748,6779981,7088194,7276983,7288883,7083928,6702239,6263758,5936253,5836490,6013112,6419898,6962800,7501238,7933688,8231150,8427061,8557160,8680516,8840220,9043342,9273759,9524532,9782770,10039338,10293333,10549668,10811538,11083629,11369066,11668829,11980960,12301969,12626938,12952209
Saint Barthélemy,652,America - Caribbean,1996,2059,2115,2169,2214,2246,2272,2281,2291,2300,2306,2322,2342,2365,2376,2384,2368,2357,2337,2332,2345,2366,2406,2458,2518,2596,2689,2811,2919,3017,3085,3099,3109,3110,3188,3370,3669,4072,4533,4972,5345,5635,5849,6028,6183,6365,6560,6764,6975,7196,7416,7658,7902,8137,8360,8555,8740,8870,9012,9115,9234,9340,9446,9548,9620,9696,9745,9788,9824,9853,9885
Saint Helena,654,Africa - Western,5249,5285,5317,5331,5340,5346,5352,5363,5374,5375,5363,5342,5333,5325,5310,5325,5365,5424,5505,5600,5696,5798,5914,6028,6139,6231,6323,6397,6458,6522,6584,6646,6702,6759,6800,6818,6820,6800,6759,6715,6654,6573,6487,6394,6305,6244,6200,6185,6166,6125,6054,5944,5799,5644,5489,5354,5261,5184,5153,5135,5183,5281,5416,5583,5737,5869,5958,6008,6039,6061,6071
Saint Kitts and Nevis,659,America - Caribbean,46053,46131,46488,47044,47731,48488,49253,49949,50545,50975,51199,51196,50961,50529,49928,49209,48351,47388,46399,45529,44878,44489,44318,44304,44322,44271,44140,43944,43703,43452,43201,42963,42733,42477,42198,41874,41479,41041,40633,40354,40260,40381,40691,41141,41618,42077,42472,42857,43225,43622,44083,44602,45168,45749,46323,46852,47333,47769,48178,48599,49011,49442,49881,50328,50776,51204,51629,52036,52438,52834,53192
Saint Lucia,662,America - Caribbean,82783,83813,84658,85352,85945,86470,86989,87519,88123,88841,89698,90718,91892,93214,94637,96138,97721,99370,101028,102599,104016,105244,106303,107311,108389,109634,111074,112685,114398,116148,117828,119435,120987,122571,124296,126246,128448,130868,133364,135787,138019,140001,141758,143402,145080,146871,148837,150920,153023,154988,156737,158184,159392,160530,161821,163408,165378,167644,170011,172223,174092,175538,176654,177505,178307,179131,180028,180955,181890,182795,183629
Saint Martin (French part),663,America - Caribbean,2999,3113,3192,3263,3332,3408,3489,3592,3693,3798,3898,3996,4078,4179,4302,4471,4675,4922,5194,5461,5707,5945,6156,6370,6601,6882,7250,7713,8191,8557,8777,8675,8372,8296,9067,11066,14561,19274,24374,28723,31522,32441,31816,30194,28482,27320,26854,26910,27388,28122,28935,29847,30913,32055,33187,34252,35240,36138,36880,37380,37582,37451,37012,36458,36018,35865,36061,36569,37264,38002,38659
Saint Pierre and Miquelon,666,America - Northern,4567,4609,4648,4678,4721,4749,4801,4841,4886,4929,4975,5014,5041,5081,5120,5162,5229,5297,5380,5464,5551,5642,5753,5845,5932,6005,6051,6103,6122,6138,6129,6109,6067,6030,6003,6017,6068,6148,6236,6327,6385,6425,6435,6423,6416,6389,6375,6366,6350,6324,6298,6255,6207,6150,6118,6113,6160,6220,6286,6343,6361,6323,6251,6168,6073,5992,5933,5885,5845,5821,5795
Saint Vincent and the Grenadines,670,America - Caribbean,66997,68075,69289,70612,72050,73550,75108,76670,78196,79632,80970,82168,83239,84200,85117,86009,86907,87779,88663,89565,90501,91490,92511,93559,94618,95665,96694,97708,98688,99649,100566,101439,102255,103035,103776,104503,105217,105905,106533,107071,107489,107772,107941,108036,108059,108043,107983,107895,107807,107763,107787,107893,108095,108322,108520,108617,108602,108516,108401,108293,108260,108315,108435,108624,108868,109135,109467,109826,110210,110593,110947
Samoa,882,Oceania - Polynesia,82106,84421,86805,89209,91666,94186,96778,99480,102328,105367,108627,112112,115768,119552,123346,127055,130672,134181,137484,140495,143146,145407,147295,148858,150191,151353,152362,153218,153986,154740,155522,156410,157365,158345,159243,159995,160552,160962,161369,161935,162797,164000,165490,167117,168689,170050,171165,172065,172839,173606,174454,175394,176410,177481,178597,179722,180874,182045,183270,184553,185944,187469,189089,190712,192220,193510,194540,195358,196128,197093,198410
San Marino,674,Europe - Southern,12774,12924,13095,13297,13532,13789,14072,14379,14707,15061,15440,15836,16255,16669,17101,17508,17919,18309,18668,18980,19224,19393,19490,19561,19661,19829,20086,20397,20764,21122,21453,21761,22043,22295,22546,22794,23046,23297,23548,23833,24124,24454,24830,25208,25588,25925,26253,26563,26851,27141,27460,27818,28175,28561,28942,29324,29694,30068,30434,30825,31221,31655,32103,32554,32941,33270,33503,33671,33784,33864,33938
Sao Tome and Principe,678,Africa - Middle,59998,59219,58554,58184,58261,58807,59774,61027,62347,63509,64294,64597,64478,64237,64278,64884,66172,68039,70258,72501,74570,76344,77930,79463,81148,83134,85475,88102,90846,93458,95788,97767,99478,101064,102826,104926,107429,110259,113288,116313,119211,121949,124574,127066,129426,131679,133799,135831,137855,139964,142264,144760,147450,150405,153736,157472,161676,166297,171122,175877,180372,184521,188394,192076,195727,199439,203221,207086,211032,215048,219161
Saudi Arabia,682,Asia - Western,3121340,3198811,3283593,3372837,3464662,3558165,3653505,3751798,3855030,3965799,4086534,4218852,4362788,4516540,4677304,4843632,5015353,5195124,5387822,5599909,5836388,6100631,6392973,6711922,7054532,7419486,7802928,8207695,8646845,9137928,9691471,10311771,10988851,11701132,12418836,13118998,13794167,14445663,15070082,15666289,16233786,16772695,17282686,17763297,18214475,18638790,19033843,19407138,19783301,20194531,20663840,21202646,21805322,22456645,23132686,23816175,24498313,25184589,25888535,26630303,27421468,28267591,29154906,30052058,30916603,31717676,32443443,33101183,33702757,34268529,34813867
Senegal,686,Africa - Western,2486642,2545343,2606617,2670733,2737910,2808239,2881767,2958481,3038293,3121093,3206757,3295280,3386803,3481654,3580241,3682879,3789381,3899648,4014107,4133324,4257508,4387532,4522886,4660726,4797188,4929846,5057375,5181505,5306685,5439069,5583157,5740441,5909734,6089567,6277420,6471329,6670665,6875746,7086624,7303511,7526306,7755503,7990090,8226749,8461066,8690155,8912872,9130876,9347777,9568717,9797731,10036102,10283694,10541470,10810086,11090123,11382272,11687078,12004700,12335092,12678143,13033814,13401990,13782429,14174740,14578450,14993514,15419354,15854324,16296362,16743930
Serbia,688,Europe - Southern,6732252,6853292,6963394,7063171,7153361,7234917,7308930,7376691,7439611,7499166,7556732,7613358,7669607,7725498,7780687,7835085,7888803,7942636,7997997,8056665,8119865,8187994,8260626,8337073,8416255,8497172,8579634,8663330,8746979,8829036,8908295,8984597,9057971,9127675,9192920,9253396,9306347,9352149,9397310,9450770,9517677,9602879,9701145,9795253,9861631,9884145,9856064,9784689,9685430,9580824,9487612,9410769,9346464,9292232,9242643,9193818,9145913,9101189,9060105,9023354,8991258,8963761,8940116,8918892,8898284,8876777,8853963,8829623,8802741,8772228,8737370
Seychelles,690,Africa - Eastern,36325,36904,37475,38003,38505,38963,39394,39837,40320,40904,41611,42460,43461,44546,45678,46787,47866,48916,49998,51132,52371,53714,55127,56609,58096,59584,61044,62483,63850,65114,66237,67242,68120,68837,69402,69772,69941,69946,69925,70089,70572,71446,72661,74071,75444,76653,77597,78357,79064,79904,80998,82413,84077,85807,87388,88652,89528,90082,90450,90788,91273,91882,92608,93397,94214,94981,95711,96418,97094,97741,98340
Sierra Leone,694,Africa - Western,2041201,2064466,2088480,2113345,2139090,2165816,2193620,2222596,2252841,2284487,2317638,2352370,2388759,2426864,2466671,2508226,2551580,2596798,2644011,2693344,2744890,2798727,2854866,2913347,2974105,3037158,3102595,3170503,3240841,3313506,3388494,3464113,3540164,3619854,3707513,3805304,3916685,4038154,4156636,4254434,4319763,4348663,4347727,4328965,4309780,4303953,4312660,4335295,4381484,4462374,4584570,4754069,4965770,5201074,5433995,5645629,5829240,5989641,6133599,6272735,6415636,6563238,6712586,6863975,7017153,7171909,7328846,7488427,7650149,7813207,7976985
Singapore,702,Asia - SouthEastern,1022095,1067797,1119932,1177580,1239692,1305103,1372516,1440490,1507544,1572174,1633133,1689600,1741457,1789374,1834517,1877826,1919274,1958735,1996870,2034514,2072284,2110958,2150498,2189609,2226377,2259721,2288860,2314988,2341401,2372594,2411690,2460503,2517983,2580915,2644495,2705537,2762442,2816974,2873279,2937277,3012968,3101144,3199642,3305801,3415701,3525964,3638177,3752131,3860721,3954741,4028872,4077150,4104407,4129227,4177202,4265693,4402324,4578629,4775810,4966614,5131170,5263640,5369469,5453732,5525628,5592143,5653625,5708042,5757503,5804343,5850343
